date,reported,genomic
3/13/21,369448.9578,86.91581226
3/14/21,371482.7305,82.96350215
3/15/21,373415.998,79.40386583
3/16/21,375246.2712,75.84422952
3/17/21,376978.0241,72.51082898
3/18/21,378577.1604,69.32512442
3/19/21,380062.3535,66.18958617
3/20/21,381442.8597,63.33854692
3/21/21,382717.874,60.48750768
3/22/21,383876.0783,57.84456439
3/23/21,384894.6286,55.29303818
3/24/21,385805.1126,52.80957592
3/25/21,386607.1732,50.54204943
3/26/21,387300.4989,48.27452294
3/27/21,387852.5476,46.13205762
3/28/21,388284.1724,44.13156487
3/29/21,388606.7405,42.13107211
3/30/21,388820.3892,40.29479399
3/31/21,388915.136,38.52990077
4/1/21,388868.7569,36.76500754
4/2/21,388714.9401,35.19252728
4/3/21,388454.2506,33.63549523
4/4/21,388087.2943,32.10677045
4/5/21,387584.4562,30.7331316
4/6/21,386966.5764,29.35949275
4/7/21,386245.943,28.04782426
4/8/21,385423.5439,26.83597711
4/9/21,384491.5555,25.62412996
4/10/21,383430.3603,24.49959511
4/11/21,382272.3677,23.43048548
4/12/21,381018.8918,22.36137584
4/13/21,379671.2757,21.40529436
4/14/21,378205.179,20.47068264
4/15/21,376639.4695,19.53607092
4/16/21,374986.0376,18.68366196
4/17/21,373246.4791,17.87440945
4/18/21,371415.4602,17.06515694
4/19/21,369477.4156,16.30703846
4/20/21,367460.5542,15.60632671
4/21/21,365366.6539,14.90561496
4/22/21,363197.5068,14.23182872
4/23/21,360935.2788,13.62510728
4/24/21,358595.4927,13.01838584
4/25/21,356188.4847,12.419951
4/26/21,353716.1513,11.8946001
4/27/21,351175.5389,11.36924921
4/28/21,348555.8872,10.84389832
4/29/21,345879.1962,10.38317987
4/30/21,343147.5,9.928295754
5/1/21,340362.7079,9.47341164
5/2/21,337513.3188,9.063216798
5/3/21,334611.4032,8.669336013
5/4/21,331664.73,8.275455228
5/5/21,328675.2006,7.911964088
5/6/21,325641.3393,7.573545165
5/7/21,322558.2099,7.235126242
5/8/21,319439.5835,6.897239799
5/9/21,316290.0051,6.608847808
5/10/21,313107.9158,6.320455818
5/11/21,309886.8532,6.032063827
5/12/21,306641.7055,5.763855107
5/13/21,303373.7776,5.518102325
5/14/21,300080.9352,5.272349543
5/15/21,296763.4664,5.02659676
5/16/21,293430.0885,4.814854224
5/17/21,290081.9486,4.605434994
5/18/21,286717.0825,4.396015763
5/19/21,283339.9973,4.198941086
5/20/21,279954.8415,4.020479021
5/21/21,276561.6524,3.842016957
5/22/21,273161.1497,3.663554892
5/23/21,269757.9447,3.5078188
5/24/21,266352.6696,3.355737238
5/25/21,262947.097,3.203655676
5/26/21,259543.6914,3.058862732
5/27/21,256143.0688,2.92926478
5/28/21,252747.6099,2.799666829
5/29/21,249360.2733,2.670068877
5/30/21,245979.5412,2.557351811
5/31/21,242608.2127,2.44920677
6/1/21,239251.191,2.341061729
6/2/21,235904.3073,2.232916689
6/3/21,232569.6368,2.130619688
6/4/21,229255.6953,2.042360788
6/5/21,225955.0029,1.954101889
6/6/21,222668.1139,1.865842989
6/7/21,219409.6181,1.777584089
6/8/21,216164.6766,1.702326131
6/9/21,212939.0063,1.63029262
6/10/21,209742.1153,1.558259109
6/11/21,206560.3967,1.486225599
6/12/21,203406.7092,1.418277161
6/13/21,200279.0241,1.359486806
6/14/21,197167.9165,1.300696451
6/15/21,194094.4077,1.241906097
6/16/21,191042.3715,1.183115742
6/17/21,188011.5686,1.133144033
6/18/21,185021.5446,1.08516532
6/19/21,182050.597,1.037186607
6/20/21,179109.7896,0.989207894
6/21/21,176204.2271,0.944078064
6/22/21,173317.9529,0.904923322
6/23/21,170472.5794,0.86576858
6/24/21,167654.6171,0.826613838
6/25/21,164858.4025,0.787459096
6/26/21,162110.2697,0.754280021
6/27/21,159382.6127,0.722324422
6/28/21,156686.9028,0.690368822
6/29/21,154030.717,0.658413223
6/30/21,151395.4883,0.628622416
7/1/21,148803.3442,0.603085811
7/2/21,146239.3312,0.577549206
7/3/21,143700.9533,0.552012601
7/4/21,141209.3799,0.526475995
7/5/21,138736.3972,0.50093939
7/6/21,136306.0153,0.480300643
7/7/21,133905.6626,0.460351369
7/8/21,131529.3003,0.440402095
7/9/21,129201.4602,0.420452821
7/10/21,126892.1271,0.400503547
7/11/21,124623.3765,0.382369902
7/12/21,122386.5219,0.366785609
7/13/21,120171.963,0.351201316
7/14/21,118005.7164,0.335617023
7/15/21,115855.571,0.32003273
7/16/21,113749.7373,0.304448438
7/17/21,111669.5304,0.292121996
7/18/21,109617.3153,0.279947972
7/19/21,107606.1741,0.267773948
7/20/21,105610.7117,0.255599924
7/21/21,103663.9405,0.2434259
7/22/21,101736.1671,0.232569812
7/23/21,99841.11634,0.223060119
7/24/21,97980.82017,0.213550427
7/25/21,96138.12832,0.204040734
7/26/21,94341.35125,0.194531042
7/27/21,92555.31098,0.185092138
7/28/21,90817.52394,0.177663756
7/29/21,89093.85097,0.170235374
7/30/21,87407.14024,0.162806991
7/31/21,85744.51199,0.155378609
8/1/21,84107.91897,0.147950227
8/2/21,82504.96831,0.14145397
8/3/21,80917.50946,0.135651298
8/4/21,79372.83299,0.129848626
8/5/21,77838.05418,0.124045955
8/6/21,76347.60971,0.118243283
8/7/21,74865.08219,0.112602336
8/8/21,73424.15329,0.108234442
8/9/21,71994.17561,0.103866549
8/10/21,70601.55354,0.099498655
8/11/21,69222.75341,0.095130761
8/12/21,67877.22254,0.090762868
8/13/21,66548.22083,0.086394974
8/14/21,65248.56257,0.08202708
8/15/21,63967.97809,0.078786904
8/16/21,62712.97443,0.075627847
8/17/21,61479.42827,0.07246879
8/18/21,60267.86493,0.069309733
8/19/21,59081.19605,0.066150677
8/20/21,57914.02632,0.06299162
8/21/21,56766.09144,0.059832563
8/22/21,55644.10338,0.057330627
8/23/21,54534.82857,0.055044157
8/24/21,53456.57701,0.052757686
8/25/21,52384.91034,0.050471216
8/26/21,51348.96894,0.048184746
8/27/21,50313.86977,0.045898276
8/28/21,49318.83365,0.043611806
8/29/21,48323.79752,0.041688894
8/30/21,47363.76181,0.040036631
8/31/21,46408.24981,0.038384367
9/1/21,45481.38341,0.036732103
9/2/21,44564.04002,0.03507984
9/3/21,43670.7435,0.033427576
9/4/21,42792.47166,0.031775313
9/5/21,41922.75796,0.030304899
9/6/21,41084.26425,0.029114857
9/7/21,40245.77054,0.027924814
9/8/21,39438.38766,0.026734772
9/9/21,38638.0744,0.025544729
9/10/21,37852.94383,0.024354686
9/11/21,37089.25718,0.023164644
9/12/21,36326.06976,0.022045548
9/13/21,35597.50071,0.021187646
9/14/21,34868.93167,0.020329744
9/15/21,34161.0231,0.019471842
9/16/21,33466.10821,0.018613939
9/17/21,32778.07891,0.017756037
9/18/21,32115.40066,0.016898135
9/19/21,31452.72241,0.016048178
9/20/21,30816.68757,0.015425444
9/21/21,30186.76954,0.014802711
9/22/21,29560.45628,0.014179977
9/23/21,28963.63583,0.013557244
9/24/21,28366.81539,0.01293451
9/25/21,27782.73165,0.012311777
9/26/21,27217.39552,0.011689044
9/27/21,26652.05939,0.011233603
9/28/21,26107.68334,0.010806771
9/29/21,25572.28294,0.01037994
9/30/21,25036.88255,0.009953109
10/1/21,24529.81346,0.009526278
10/2/21,24022.86395,0.009099446
10/3/21,23523.79124,0.008672615
10/4/21,23043.87032,0.008245784
10/5/21,22563.9494,0.007818953
10/6/21,22099.09665,0.007405687
10/7/21,21644.84322,0.007133331
10/8/21,21190.5898,0.006860975
10/9/21,20758.38112,0.006588619
10/10/21,20329.10248,0.006316263
10/11/21,19900.75177,0.006043907
10/12/21,19495.72785,0.005771551
10/13/21,19090.70393,0.005499195
10/14/21,18690.12787,0.005226839
10/15/21,18308.05044,0.004954483
10/16/21,17925.97302,0.004714205
10/17/21,17551.47843,0.004541567
10/18/21,17191.10263,0.004368929
10/19/21,16830.72683,0.004196291
10/20/21,16480.7124,0.004023654
10/21/21,16140.85452,0.003851016
10/22/21,15800.99664,0.003678378
10/23/21,15473.94927,0.00350574
10/24/21,15153.48452,0.003333103
10/25/21,14833.01977,0.003160465
10/26/21,14527.51092,0.003022086
10/27/21,14225.37117,0.002911115
10/28/21,13923.23143,0.002800145
10/29/21,13638.18784,0.002689174
10/30/21,13353.64171,0.002578204
10/31/21,13069.61575,0.002467233
11/1/21,12801.94128,0.002356263
11/2/21,12534.26681,0.002245292
11/3/21,12268.02232,0.002134322
11/4/21,12016.24757,0.002023351
11/5/21,11764.47282,0.001942525
11/6/21,11514.93081,0.00186974
11/7/21,11278.13645,0.001796955
11/8/21,11041.34209,0.00172417
11/9/21,10807.48501,0.001651385
11/10/21,10584.80189,0.0015786
11/11/21,10362.11877,0.001505815
11/12/21,10142.98747,0.00143303
11/13/21,9933.594235,0.001360245
11/14/21,9724.200995,0.001288049
11/15/21,9518.891878,0.001240544
11/16/21,9322.012638,0.001193039
11/17/21,9125.133398,0.001145534
11/18/21,8932.840963,0.001098028
11/19/21,8747.860947,0.001050523
11/20/21,8562.880932,0.001003018
11/21/21,8382.234565,0.000955513
11/22/21,8208.561379,0.000908008
11/23/21,8034.888193,0.000860503
11/24/21,7865.265164,0.000817459
11/25/21,7702.219991,0.000787303
11/26/21,7539.174818,0.000757147
11/27/21,7379.914166,0.00072699
11/28/21,7226.857452,0.000696834
11/29/21,7073.800738,0.000666678
11/30/21,6924.279718,0.000636522
12/1/21,6780.609083,0.000606366
12/2/21,6636.938447,0.000576209
12/3/21,6496.570494,0.000546053
12/4/21,6361.718732,0.0005232
12/5/21,6226.86697,0.000507917
12/6/21,6095.099752,0.000492634
12/7/21,5968.532921,0.000477351
12/8/21,5841.96609,0.000462069
12/9/21,5718.342107,0.000446786
12/10/21,5599.72647,0.000431503
12/11/21,5481.110833,0.00041622
12/12/21,5364.262791,0.000400938
12/13/21,5253.266269,0.000385655
12/14/21,5142.269747,0.000370372
12/15/21,5031.943042,0.000355089
12/16/21,4928.081666,0.000339806
12/17/21,4824.22029,0.000324524
12/18/21,4720.358914,0.000309241
12/19/21,4622.883168,0.000293958
12/20/21,4525.703023,0.000280475
12/21/21,4428.522879,0.000273856
12/22/21,4336.457539,0.000267236
12/23/21,4245.532987,0.000260617
12/24/21,4154.608435,0.000253997
12/25/21,4067.663513,0.000247378
12/26/21,3982.595509,0.000240758
12/27/21,3897.527506,0.000234139
12/28/21,3815.427722,0.000227519
12/29/21,3735.842221,0.000220899
12/30/21,3656.25672,0.00021428
12/31/21,3578.800555,0.00020766
1/1/22,3504.495105,0.000201041
1/2/22,3430.189654,0.000194421
1/3/22,3356.267599,0.000187802
